school_code,school_name,sido,sigungu,education_office,school_type,postcode,address,student_count,teacher_count,counselor_count,students_per_counselor
480041891,창원대산고등학교,경남,창원시,경남,일반고,51123,경상남도 창원시 의창구 대산면 진산대로 378(대산면.창원대산고등학교),481,43,0,
480041894,창원문성고등학교,경남,창원시,경남,일반고,51410,경상남도 창원시 의창구 원이대로 406(두대동.창원문성고등학교),498,50,0,
480041490,창원중앙고등학교,경남,창원시,경남,일반고,51437,경상남도 창원시 성산구 용호로 16(용호동. 창원중앙고등학교),581,60,1,581.0
480041848,진해중앙고등학교,경남,창원시,경남,일반고,51581,경상남도 창원시 진해구 병암북로 9. 진해중앙고등학교 (경화동),630,45,1,630.0
480041870,창신고등학교,경남,창원시,경남,일반고,51347,경상남도 창원시 마산회원구 봉덕2길 106(봉암동. 창신고등학교),568,49,0,
480041704,마산무학여자고등학교,경남,창원시,경남,일반고,51324,경상남도 창원시 마산회원구 회원동33길 17(회원동. 마산무학여자고등학교),586,49,1,586.0
480041680,마산제일고등학교,경남,창원시,경남,일반고,51217,경상남도 창원시 마산회원구 내서읍 함마대로 2610. 마산제일고등학교 (내서읍),690,57,0,
480041001,경상고등학교,경남,창원시,경남,일반고,51184,경상남도 창원시 의창구 금강로379번길 46. 경상고등학교 (소계동.경상고등학교),514,46,1,514.0
480041253,마산용마고등학교,경남,창원시,경남,일반고,51334,경상남도 창원시 마산합포구 허당로 51(산호동. 마산용마고등학교),523,60,0,
480041221,창원북면고등학교,경남,창원시,경남,일반고,51111,경상남도 창원시 의창구 북면 동전로 36. 창원북면고등학교 [지번: 북면 감계리 232-3],874,68,1,874.0
480041472,창원남산고등학교,경남,창원시,경남,일반고,51489,경상남도 창원시 성산구 가음로92번길 34(가음동.남산고등학교),525,55,0,
480041473,창원명지여자고등학교,경남,창원시,경남,일반고,51172,경상남도 창원시 의창구 명지로109번길 54(명서동. 명지여자고등학교),511,57,0,
480041474,창원봉림고등학교,경남,창원시,경남,일반고,51144,경상남도 창원시 의창구 창이대로333번길 39(봉곡동. 창원봉림고등학교),511,50,1,511.0
480041480,창원여자고등학교,경남,창원시,경남,일반고,51519,경상남도 창원시 성산구 두대로 153(중앙동),457,52,1,457.0
480041515,창원성민여자고등학교,경남,창원시,경남,일반고,51368,경상남도 창원시 의창구 팔용로 481(팔용동),482,45,0,
480041478,창원신월고등학교,경남,창원시,경남,일반고,51441,경상남도 창원시 성산구 신월로 66(신월동. 창원신월고등학교),521,51,1,521.0
480041470,진해여자고등학교,경남,창원시,경남,일반고,51691,경상남도 창원시 진해구 여좌남로 23(여좌동.진해여자고등학교),830,58,1,830.0
480041495,창원중앙여자고등학교,경남,창원시,경남,일반고,51499,경상남도 창원시 성산구 단정로 121(상남동),429,49,1,429.0
