school_code,school_name,sido,sigungu,education_office,school_type,postcode,address,student_count,teacher_count,counselor_count,students_per_counselor,wee_class_raw,wee_class,avg_teacher_counseling_count_3yr,avg_external_counseling_count_3yr,avg_total_counseling_count_3yr,counseling_years_available,counseling_count_per_student,norm_avg_total_counseling_count_3yr,norm_counseling_count_per_student,counseling_use_score,counseling_use_components_available
480041180,김해고등학교,경남,김해시,경남,일반고,50934,경상남도 김해시 활천로24번길 29(삼정동. 김해고등학교),587,53,0,,Y,1,176.33333333333334,9.666666666666666,186.0,3,0.31686541737649065,0.20283533260632497,0.09758972930606746,0.15021253095619622,2
480041417,장유고등학교,경남,김해시,경남,일반고,50980,경상남도 김해시 월산로 77(부곡동.장유고등학교),1135,87,0,,Y,1,446.0,90.33333333333333,536.3333333333334,3,0.47254038179148317,0.5848782260996002,0.145535250665818,0.36520673838270906,2
480041194,구산고등학교,경남,김해시,경남,일반고,50832,경상남도 김해시 가야로 311(구산동. 구산고등학교),635,56,1,635.0,Y,1,241.66666666666666,8.0,249.66666666666666,3,0.3931758530183727,0.272264631043257,0.12109218286877638,0.19667840695601668,2
480041377,김해임호고등학교,경남,김해시,경남,일반고,50886,경상남도 김해시 분성로3번길 77. 김해임호고등학교 (외동),416,40,0,,Y,1,327.6666666666667,4.666666666666667,332.3333333333333,3,0.7988782051282051,0.3624136677571792,0.24604233694062588,0.30422800234890257,2
480041188,김해삼문고등학교,경남,김해시,경남,일반고,50986,경상남도 김해시 번화1로 127(삼문동. 김해삼문고등학교),1067,83,2,533.5,Y,1,418.0,34.666666666666664,452.6666666666667,3,0.42424242424242425,0.49363867684478374,0.13066021431040442,0.31214944557759405,2
480041447,진영고등학교,경남,김해시,경남,일반고,50865,경상남도 김해시 진영읍 여래로20번길 35(진영읍. 진영고등학교),863,73,1,863.0,Y,1,527.6666666666666,32.0,559.6666666666666,3,0.6485129393588258,0.6103235187204652,0.1997321220078513,0.40502782036415824,2
480041348,김해율하고등학교,경남,김해시,경남,일반고,51014,경상남도 김해시 율하1로 21(율하동),1064,77,0,,Y,1,371.0,42.0,413.0,3,0.3881578947368421,0.45038167938931295,0.11954672803682208,0.2849642037130675,2
480041346,김해삼방고등학교,경남,김해시,경남,일반고,50811,경상남도 김해시 신어산길 17.김해삼방고등학교(삼방동),599,55,1,599.0,Y,1,325.3333333333333,10.666666666666666,336.0,3,0.5609348914858097,0.366412213740458,0.1727594152484813,0.26958581449446967,2
480041184,김해분성여자고등학교,경남,김해시,경남,일반고,50899,경상남도 김해시 삼계로 171(삼계동),545,56,0,,Y,1,257.6666666666667,1.0,258.6666666666667,3,0.47461773700305815,0.282079243911305,0.14617504447622703,0.21412714419376602,2
480041185,김해분성고등학교,경남,김해시,경남,일반고,50899,경상남도 김해시 가야로147번길 29(삼계동.김해분성고등학교),634,54,0,,Y,1,320.6666666666667,4.333333333333333,325.0,3,0.5126182965299685,0.3544165757906216,0.15787863885523742,0.2561476073229295,2
480041183,김해대청고등학교,경남,김해시,경남,일반고,51003,경상남도 김해시 번화1로 7(대청동. 대청고등학교),1127,93,0,,Y,1,629.6666666666666,17.333333333333332,647.0,3,0.5740905057675244,0.7055616139585605,0.17681114436186113,0.44118637916021086,2
480041177,김해경원고등학교,경남,김해시,경남,일반고,50957,경상남도 김해시 우암로 18(외동. 김해경원고등학교),728,62,1,728.0,Y,1,425.6666666666667,4.0,429.6666666666667,3,0.5902014652014652,0.46855688840421666,0.18177307483391134,0.325164981619064,2
480041347,김해제일고등학교,경남,김해시,경남,일반고,50886,경상남도 김해시 분성로3번길 105(외동. 김해제일고등학교),607,53,0,,Y,1,327.6666666666667,44.0,371.6666666666667,3,0.6123009335529929,0.40530716103235187,0.18857937497259475,0.2969432680024733,2
480041215,남해제일고등학교,경남,남해군,경남,일반고,52413,경상남도 남해군 남해읍 남해대로 2800-11(남해읍. 남해제일고등학교),344,41,0,,Y,1,257.3333333333333,7.0,264.3333333333333,3,0.7684108527131782,0.28825881497637224,0.2366588557785834,0.26245883537747783,2
480041660,남해해성고등학교,경남,남해군,경남,일반고,52434,경상남도 남해군 남면 남면로1835번길 8-4(남면. 해성고등학교.해성중학교),261,27,0,,N,0,199.0,2.0,201.0,3,0.7701149425287356,0.21919302071973829,0.23718368952405924,0.22818835512189878,2
480041654,남해고등학교,경남,남해군,경남,일반고,52431,경상남도 남해군 이동면 무림로 46-2(이동면. 남해고등학교),278,32,1,278.0,Y,1,452.0,27.666666666666668,479.6666666666667,3,1.7254196642685853,0.5230825154489277,0.5314030144705528,0.5272427649597402,2
