school_name,sigungu,avg_teacher_counseling_count_3yr,avg_external_counseling_count_3yr,avg_total_counseling_count_3yr,counseling_years_available,counseling_count_per_student,norm_avg_total_counseling_count_3yr,norm_counseling_count_per_student,counseling_use_score,counseling_use_components_available
양산고등학교,양산시,472.6666666666667,12.333333333333334,485.0,3,0.5347298787210585,0.5288985823336968,0.16468866987226516,0.346793626102981,2
양산여자고등학교,양산시,245.66666666666666,10.333333333333334,256.0,3,0.2838137472283814,0.2791712104689204,0.08741031758744824,0.18329076402818434,2
효암고등학교,양산시,270.0,10.333333333333334,280.3333333333333,3,0.34694719471947194,0.30570701563067976,0.10685445921017957,0.20628073742042966,2
증산고등학교,양산시,310.0,59.0,369.0,3,0.3205907906168549,0.40239912758996726,0.09873708760443059,0.25056810759719894,2
서창고등학교,양산시,390.0,3.6666666666666665,393.6666666666667,3,0.4237531395766057,0.42929843693202474,0.1305095220749242,0.27990397950347445,2
양산남부고등학교,양산시,266.0,7.666666666666667,273.6666666666667,3,0.2761520349815002,0.2984369320247183,0.08505062674335177,0.19174377938403506,2
양산제일고등학교,양산시,282.3333333333333,4.333333333333333,286.6666666666667,3,0.419103313840156,0.3126135950563432,0.12907744646788072,0.22084552076211195,2
웅상고등학교,양산시,460.6666666666667,20.333333333333332,481.0,3,0.5916359163591636,0.52453653217012,0.18221486397373476,0.35337569807192737,2
범어고등학교,양산시,261.3333333333333,0.0,261.3333333333333,3,0.2780141843971631,0.28498727735368956,0.08562414044171182,0.1853057088977007,2
물금고등학교,양산시,398.0,9.0,407.0,3,0.4086345381526104,0.44383860414394766,0.1258532227770397,0.2848459134604937,2
보광고등학교,양산시,554.6666666666666,15.666666666666666,570.3333333333334,3,1.8457389428263216,0.6219556524900037,0.5684595223153309,0.5952075874026673,2
의령고등학교,의령군,132.0,0.6666666666666666,132.66666666666666,3,0.8139059304703475,0.14467466375863322,0.2506706477874454,0.19767265577303933,2
의령여자고등학교,의령군,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2
진서고등학교,진주시,1.0,0.0,1.0,3,0.06666666666666667,0.0010905125408942203,0.020532319391634978,0.0108114159662646,2
명신고등학교,진주시,267.6666666666667,3.6666666666666665,271.3333333333333,3,0.41298833079654995,0.29589240276263173,0.12719412469399446,0.2115432637283131,2
진주중앙고등학교,진주시,369.3333333333333,8.666666666666666,378.0,3,0.6483704974271012,0.4122137404580153,0.1996882520592973,0.3059509962586563,2
경상국립대학교사범대학부설고등학교,진주시,222.0,2.0,224.0,3,0.47863247863247865,0.24427480916030533,0.14741152383737935,0.19584316649884234,2
진주외국어고등학교,진주시,499.0,27.0,526.0,3,3.246913580246914,0.5736095965103599,1.0,0.78680479825518,2
진주여자고등학교,진주시,372.0,1.6666666666666667,373.6666666666667,3,0.5678824721377913,0.40748818611414034,0.17489916442266576,0.29119367526840306,2
진주제일여자고등학교,진주시,428.6666666666667,21.333333333333332,450.0,3,0.6293706293706294,0.49073064340239914,0.19383658166928128,0.3422836125358402,2
진주동명고등학교,진주시,101.0,0.0,101.0,3,0.13950276243093923,0.11014176663031625,0.04296472911371132,0.07655324787201379,2
진양고등학교,진주시,274.6666666666667,0.0,274.6666666666667,3,0.4087301587301588,0.29952744456561253,0.12588267246061924,0.21270505851311589,2
삼현여자고등학교,진주시,210.0,3.3333333333333335,213.33333333333334,3,0.2950668510834486,0.232642675390767,0.09087610242494044,0.1617593889078537,2
진주고등학교,진주시,500.0,7.333333333333333,507.3333333333333,3,0.8613469156762874,0.5532533624136677,0.26528174969497825,0.40926755605432297,2
대아고등학교,진주시,320.6666666666667,10.0,330.6666666666667,3,0.4560919540229885,0.36059614685568886,0.14046938507932344,0.2505327659675062,2
경해여자고등학교,진주시,245.33333333333334,0.0,245.33333333333334,3,0.35452793834296725,0.26753907669938204,0.10918921294973516,0.1883641448245586,2
창녕여자고등학교,창녕군,232.66666666666666,29.666666666666668,262.3333333333333,3,1.1258941344778255,0.28607778989458377,0.34675826955400707,0.31641802972429545,2
창녕고등학교,창녕군,133.66666666666666,5.0,138.66666666666666,3,1.0426065162907268,0.15121773900399854,0.32110694988421623,0.23616234444410739,2
창녕옥야고등학교,창녕군,202.0,7.0,209.0,3,0.7627737226277372,0.22791712104689205,0.23492270544808636,0.2314199132474892,2
남지고등학교,창녕군,20.666666666666668,13.333333333333334,34.0,3,0.09340659340659341,0.03707742639040349,0.028767810136631426,0.03292261826351746,2
창녕대성고등학교,창녕군,201.33333333333334,8.0,209.33333333333334,3,1.903030303030303,0.22828062522719011,0.5861043899066712,0.4071925075669307,2
영산고등학교,창녕군,150.0,21.0,171.0,3,0.8860103626943006,0.18647764449291168,0.2728777162670659,0.2296776803799888,2
